Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
south dakota state,20,12,2.15,69.7,114.2,2024,Eric Henderson,270_Eric_Henderson
south florida,13,19,-2.15,69.7,105.9,2024,Ben Fletcher,
southeast missouri state,21,12,-4.84,69.7,105.4,2024,Brad Korn,272_Brad_Korn
southeastern louisiana,18,14,-4,67.5,106.7,2024,David Kiefer,246_David_Kiefer
southern,20,12,-6.83,70.6,105.1,2024,Kevin Johnson,
southern california,17,18,12.97,69,110.4,2024,Eric Musselman,12_Eric_Musselman
southern illinois,14,19,-2.22,68.4,105.7,2024,Scott Nagy,357_Scott_Nagy
siu edwardsville ,22,12,-6.12,67.7,105,2024,Brian Barone,247_Brian_Barone
southern indiana,10,20,-13.86,68.5,103,2024,Stan Gouard,365_Stan_Gouard
southern methodist,24,11,14.35,69.3,115.3,2024,Andy Enfield,
southern mississippi,11,22,-9.91,71.4,99,2024,Jay Ladner,275_Jay_Ladner
southern utah,12,19,-10.63,70.8,98.5,2024,Rob Jeter,349_Rob_Jeter
st. bonaventure,22,12,2.92,65.3,104.7,2024,Mark Schmidt,277_Mark_Schmidt
st. john's   ,31,5,21.25,70.1,110.3,2024,Rick Pitino *,123_Rick_Pitino_*
st. thomas,24,10,1.01,69.8,118.8,2024,John Tauer,280_John_Tauer
stanford,21,14,8.78,67.1,109.4,2024,Kyle Smith,
stephen f. austin,14,17,-8.01,68.2,96.5,2024,Kyle Keller *,282_Kyle_Keller_*
stetson,8,24,-16.7,69.5,102.4,2024,Donnie Jones *,283_Donnie_Jones_*
stonehill,15,17,-13.12,66.3,103.7,2024,Chris Kraus,284_Chris_Kraus
stony brook,8,24,-13.84,64.9,102.5,2024,Geno Ford,285_Geno_Ford
syracuse,14,19,4.95,68.7,106.3,2024,Adrian Autry,
tarleton state,12,20,-10.31,68.5,92.4,2024,Billy Gillispie,288_Billy_Gillispie
tcu,16,16,10.49,67.1,100.3,2024,Jamie Dixon,287_Jamie_Dixon
temple,17,15,-0.24,69.4,110.9,2024,Adam Fisher,
tennessee ,30,8,24.2,64.9,114,2024,Rick Barnes,292_Rick_Barnes
tennessee state,17,16,-8.01,71.6,106.6,2024,Brian Collins,290_Brian_Collins
tennessee tech,15,17,-11.09,69,103.8,2024,John Pelphrey,291_John_Pelphrey
tennessee-martin,14,19,-11.18,68,107,2024,Jeremy Shulman,
texas ,19,16,15.65,68.4,113.1,2024,Rodney Terry,295_Chris_Beard
texas a&m ,23,11,19.3,67.8,109.2,2024,Buzz Williams,293_Buzz_Williams
texas a&m-corpus christi,20,14,-0.99,68.5,110.5,2024,Jim Shaw,
texas southern,15,17,-10.27,71.6,100.7,2024,Johnny Jones,296_Johnny_Jones
texas state,16,16,-3.6,67.2,110.9,2024,Terrence Johnson,297_Terrence_Johnson
texas tech ,28,9,23.05,66.5,119.5,2024,Grant McCasland,204_Grant_McCasland
texas-rio grande valley,16,15,-6.05,71.5,107.4,2024,Kahil Fennell,
the citadel,5,25,-18.37,66.3,99.1,2024,Ed Conroy,299_Ed_Conroy
toledo,18,15,-6.03,69.6,113,2024,Tod Kowalczyk,300_Tod_Kowalczyk
towson,22,11,-1.92,64.1,108,2024,Pat Skerry,301_Pat_Skerry
troy ,23,11,3.55,67.5,108.7,2024,Scott Cross,302_Scott_Cross
tulane,19,15,1.24,68.1,109,2024,Ron Hunter,303_Ron_Hunter
tulsa,13,20,-5.93,67.6,103.8,2024,Eric Konkol,149_Eric_Konkol
uab,24,13,4.7,70.4,115.9,2024,Andy Kennedy,305_Andy_Kennedy
uc davis,15,17,-6.41,68.6,98.6,2024,Jim Les,307_Jim_Les
uc irvine,32,7,7.6,69.7,107.2,2024,Russ Turner,308_Russ_Turner
uc riverside,21,13,-1.47,68,108.3,2024,Mike Magpayo,309_Mike_Magpayo
uc san diego ,30,5,12.63,67.4,117.7,2024,Eric Olen,310_Eric_Olen
uc santa barbara,21,13,0.28,66.9,111,2024,Joe Pasternack,311_Joe_Pasternack
ucf,20,17,10.59,72.5,108.2,2024,Johnny Dawkins Jr,312_Johnny_Dawkins_Jr
ucla ,23,11,19.68,66.2,112,2024,Mick Cronin,
unc asheville,21,11,-5.36,70.8,114.8,2024,Mike Morrell,319_Mike_Morrell
unc greensboro,20,12,-0.99,65.2,111.8,2024,Mike Jones,320_Mike_Jones
unc wilmington ,27,8,2.36,67.4,116.2,2024,Takayo Siddle,321_Takayo_Siddle
ut arlington,13,18,-5.55,69.1,106.1,2024,KT Turner,
utah,16,17,11.44,69.3,108.6,2024,Craig Smith,
utah state ,26,8,13.56,67.2,118.8,2024,Jerrod Calhoun,361_Jerrod_Calhoun
utah tech,7,26,-10.29,69.3,100.5,2024,Jon Judkins,330_Jon_Judkins
utah valley,25,9,1.91,69.4,108.8,2024,Todd Phillips,
utep,18,15,-0.63,69.5,103.9,2024,Joe Golding,327_Joe_Golding
